scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,20,bramev_fixed_alpha,42,42,42,0,0,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,0,5,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,0,6,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,0,7,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,0,8,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,0,10,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,0,11,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,1,1,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,1,2,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,1,3,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,1,9,0,0.5
pessimistic,20,bramev_fixed_alpha,42,42,42,2,4,0,0.5
