scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,40,bramev_global_rep,42,42,42,8,5,0.375,0.0
pessimistic,40,bramev_global_rep,42,42,42,20,1,0.402,0.0
pessimistic,40,bramev_global_rep,42,42,42,24,1,0.7915,0.0
pessimistic,40,bramev_global_rep,42,42,42,25,9,0.9272,0.0
pessimistic,40,bramev_global_rep,42,42,42,34,3,0.7657,0.0
pessimistic,40,bramev_global_rep,42,42,42,19,1,0.3071,0.0
pessimistic,40,bramev_global_rep,42,42,42,31,11,0.592,0.0
pessimistic,40,bramev_global_rep,42,42,42,37,3,0.193,0.0
pessimistic,40,bramev_global_rep,42,42,42,16,0,0.4969,0.0
pessimistic,40,bramev_global_rep,42,42,42,10,9,0.1986,0.0
pessimistic,40,bramev_global_rep,42,42,42,27,0,0.3382,0.0
pessimistic,40,bramev_global_rep,42,42,42,2,2,0.6032,0.0
pessimistic,40,bramev_global_rep,42,42,42,7,3,0.4483,0.0
pessimistic,40,bramev_global_rep,42,42,42,13,3,0.0887,0.0
pessimistic,40,bramev_global_rep,42,42,42,7,3,0.4483,0.0
pessimistic,40,bramev_global_rep,42,42,42,13,3,0.4483,0.0
pessimistic,40,bramev_global_rep,42,42,42,38,11,0.4663,0.0
pessimistic,40,bramev_global_rep,42,42,42,23,0,0.3382,5.0
pessimistic,40,bramev_global_rep,42,42,42,3,0,0.3382,0.0
pessimistic,40,bramev_global_rep,42,42,42,12,8,0.3656,0.0
pessimistic,40,bramev_global_rep,42,42,42,36,9,0.2378,0.0
pessimistic,40,bramev_global_rep,42,42,42,39,11,0.4046,0.0
pessimistic,40,bramev_global_rep,42,42,42,6,11,0.592,0.0
pessimistic,40,bramev_global_rep,42,42,42,18,3,0.0643,0.0
pessimistic,40,bramev_global_rep,42,42,42,32,4,0.3017,0.0
pessimistic,40,bramev_global_rep,42,42,42,0,6,0.373,0.0
pessimistic,40,bramev_global_rep,42,42,42,28,3,0.4483,0.0
pessimistic,40,bramev_global_rep,42,42,42,22,11,0.4904,0.0
pessimistic,40,bramev_global_rep,42,42,42,9,0,0.3382,0.0
pessimistic,40,bramev_global_rep,42,42,42,15,11,0.5366,0.0
pessimistic,40,bramev_global_rep,42,42,42,11,3,0.4483,0.0
pessimistic,40,bramev_global_rep,42,42,42,21,3,0.4483,0.0
pessimistic,40,bramev_global_rep,42,42,42,15,3,0.5163,0.0
