scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,150,bramev_event_score,2,2,2,27,10,0.9445,0.0
pessimistic,150,bramev_event_score,2,2,2,40,3,0.2575,0.0
pessimistic,150,bramev_event_score,2,2,2,45,5,0.4819,0.0
pessimistic,150,bramev_event_score,2,2,2,47,0,0.5442,0.0
pessimistic,150,bramev_event_score,2,2,2,50,7,0.6436,20.0
pessimistic,150,bramev_event_score,2,2,2,61,6,0.2327,0.0
pessimistic,150,bramev_event_score,2,2,2,72,3,0.4574,0.0
pessimistic,150,bramev_event_score,2,2,2,84,8,0.2612,5.0
pessimistic,150,bramev_event_score,2,2,2,89,7,0.4821,10.0
pessimistic,150,bramev_event_score,2,2,2,121,2,0.1644,0.0
pessimistic,150,bramev_event_score,2,2,2,125,0,0.1698,0.0
pessimistic,150,bramev_event_score,2,2,2,148,2,0.3775,5.0
pessimistic,150,bramev_event_score,2,2,2,5,7,0.3801,0.0
pessimistic,150,bramev_event_score,2,2,2,40,3,0.2575,0.0
pessimistic,150,bramev_event_score,2,2,2,70,10,1.0261,0.0
pessimistic,150,bramev_event_score,2,2,2,72,0,0.5873,0.0
pessimistic,150,bramev_event_score,2,2,2,78,11,1.2575,0.0
pessimistic,150,bramev_event_score,2,2,2,82,2,0.4855,0.0
pessimistic,150,bramev_event_score,2,2,2,117,11,1.3289,0.0
pessimistic,150,bramev_event_score,2,2,2,61,11,0.4095,0.0
pessimistic,150,bramev_event_score,2,2,2,72,0,0.393,5.0
pessimistic,150,bramev_event_score,2,2,2,34,2,0.095,0.0
pessimistic,150,bramev_event_score,2,2,2,61,11,0.4095,0.0
pessimistic,150,bramev_event_score,2,2,2,72,5,0.3152,0.0
pessimistic,150,bramev_event_score,2,2,2,78,10,1.4202,0.0
pessimistic,150,bramev_event_score,2,2,2,82,11,1.0257,5.0
pessimistic,150,bramev_event_score,2,2,2,125,4,0.5923,0.0
pessimistic,150,bramev_event_score,2,2,2,72,3,0.9895,0.0
pessimistic,150,bramev_event_score,2,2,2,88,10,1.1585,0.0
pessimistic,150,bramev_event_score,2,2,2,22,7,0.3896,135.0
pessimistic,150,bramev_event_score,2,2,2,5,2,0.6465,5.0
pessimistic,150,bramev_event_score,2,2,2,22,2,0.9407,5.0
pessimistic,150,bramev_event_score,2,2,2,61,11,0.077,0.0
pessimistic,150,bramev_event_score,2,2,2,34,8,0.3917,0.0
pessimistic,150,bramev_event_score,2,2,2,89,8,1.4146,0.0
pessimistic,150,bramev_event_score,2,2,2,114,3,0.5806,0.0
pessimistic,150,bramev_event_score,2,2,2,20,2,0.1486,0.0
pessimistic,150,bramev_event_score,2,2,2,88,5,0.1296,0.0
pessimistic,150,bramev_event_score,2,2,2,89,6,0.115,0.0
pessimistic,150,bramev_event_score,2,2,2,63,7,0.2405,5.0
pessimistic,150,bramev_event_score,2,2,2,68,7,0.8932,55.0
pessimistic,150,bramev_event_score,2,2,2,21,3,0.5928,0.0
pessimistic,150,bramev_event_score,2,2,2,15,3,0.6119,5.0
pessimistic,150,bramev_event_score,2,2,2,18,8,1.6427,0.0
pessimistic,150,bramev_event_score,2,2,2,26,2,0.4576,25.0
pessimistic,150,bramev_event_score,2,2,2,4,2,0.9291,110.0
pessimistic,150,bramev_event_score,2,2,2,43,2,0.908,105.0
